Fecha,ClaveEstado,Estado,NivelSemaforo
1/1/2020,32,Zacatecas,0
1/1/2020,31,Yucatán,0
1/1/2020,29,Tlaxcala,0
1/1/2020,28,Tamaulipas,0
1/1/2020,27,Tabasco,0
1/1/2020,26,Sonora,0
1/1/2020,25,Sinaloa,0
1/1/2020,24,San Luis Potosí,0
1/1/2020,23,Quintana Roo,0
1/1/2020,22,Querétaro,0
1/1/2020,21,Puebla,0
1/1/2020,20,Oaxaca,0
1/1/2020,20,Veracruz,0
1/1/2020,19,Nuevo León,0
1/1/2020,18,Nayarit,0
1/1/2020,17,Morelos,0
1/1/2020,16,Michoacán,0
1/1/2020,15,EdoMex,0
1/1/2020,14,Jalisco,0
1/1/2020,13,Hidalgo,0
1/1/2020,12,Guerrero,0
1/1/2020,11,Guanajuato,0
1/1/2020,10,Durango,0
1/1/2020,9,Colima,0
1/1/2020,8,Coahuila,0
1/1/2020,7,CDMX,0
1/1/2020,6,Chihuahua,0
1/1/2020,5,Chiapas,0
1/1/2020,4,Campeche,0
1/1/2020,3,Baja California Sur,0
1/1/2020,2,Baja California,0
1/1/2020,1,Aguascalientes,0
2/1/2020,32,Zacatecas,0
2/1/2020,31,Yucatán,0
2/1/2020,29,Tlaxcala,0
2/1/2020,28,Tamaulipas,0
2/1/2020,27,Tabasco,0
2/1/2020,26,Sonora,0
2/1/2020,25,Sinaloa,0
2/1/2020,24,San Luis Potosí,0
2/1/2020,23,Quintana Roo,0
2/1/2020,22,Querétaro,0
2/1/2020,21,Puebla,0
2/1/2020,20,Oaxaca,0
2/1/2020,20,Veracruz,0
2/1/2020,19,Nuevo León,0
2/1/2020,18,Nayarit,0
2/1/2020,17,Morelos,0
2/1/2020,16,Michoacán,0
2/1/2020,15,EdoMex,0
2/1/2020,14,Jalisco,0
2/1/2020,13,Hidalgo,0
2/1/2020,12,Guerrero,0
2/1/2020,11,Guanajuato,0
2/1/2020,10,Durango,0
2/1/2020,9,Colima,0
2/1/2020,8,Coahuila,0
2/1/2020,7,CDMX,0
2/1/2020,6,Chihuahua,0
2/1/2020,5,Chiapas,0
2/1/2020,4,Campeche,0
2/1/2020,3,Baja California Sur,0
2/1/2020,2,Baja California,0
2/1/2020,1,Aguascalientes,0
3/1/2020,32,Zacatecas,0
3/1/2020,31,Yucatán,0
3/1/2020,29,Tlaxcala,0
3/1/2020,28,Tamaulipas,0
3/1/2020,27,Tabasco,0
3/1/2020,26,Sonora,0
3/1/2020,25,Sinaloa,0
3/1/2020,24,San Luis Potosí,0
3/1/2020,23,Quintana Roo,0
3/1/2020,22,Querétaro,0
3/1/2020,21,Puebla,0
3/1/2020,20,Oaxaca,0
3/1/2020,20,Veracruz,0
3/1/2020,19,Nuevo León,0
3/1/2020,18,Nayarit,0
3/1/2020,17,Morelos,0
3/1/2020,16,Michoacán,0
3/1/2020,15,EdoMex,0
3/1/2020,14,Jalisco,0
3/1/2020,13,Hidalgo,0
3/1/2020,12,Guerrero,0
3/1/2020,11,Guanajuato,0
3/1/2020,10,Durango,0
3/1/2020,9,Colima,0
3/1/2020,8,Coahuila,0
3/1/2020,7,CDMX,0
3/1/2020,6,Chihuahua,0
3/1/2020,5,Chiapas,0
3/1/2020,4,Campeche,0
3/1/2020,3,Baja California Sur,0
3/1/2020,2,Baja California,0
3/1/2020,1,Aguascalientes,0
4/1/2020,32,Zacatecas,0
4/1/2020,31,Yucatán,0
4/1/2020,29,Tlaxcala,0
4/1/2020,28,Tamaulipas,0
4/1/2020,27,Tabasco,0
4/1/2020,26,Sonora,0
4/1/2020,25,Sinaloa,0
4/1/2020,24,San Luis Potosí,0
4/1/2020,23,Quintana Roo,0
4/1/2020,22,Querétaro,0
4/1/2020,21,Puebla,0
4/1/2020,20,Oaxaca,0
4/1/2020,20,Veracruz,0
4/1/2020,19,Nuevo León,0
4/1/2020,18,Nayarit,0
4/1/2020,17,Morelos,0
4/1/2020,16,Michoacán,0
4/1/2020,15,EdoMex,0
4/1/2020,14,Jalisco,0
4/1/2020,13,Hidalgo,0
4/1/2020,12,Guerrero,0
4/1/2020,11,Guanajuato,0
4/1/2020,10,Durango,0
4/1/2020,9,Colima,0
4/1/2020,8,Coahuila,0
4/1/2020,7,CDMX,0
4/1/2020,6,Chihuahua,0
4/1/2020,5,Chiapas,0
4/1/2020,4,Campeche,0
4/1/2020,3,Baja California Sur,0
4/1/2020,2,Baja California,0
4/1/2020,1,Aguascalientes,0
5/1/2020,32,Zacatecas,0
5/1/2020,31,Yucatán,0
5/1/2020,29,Tlaxcala,0
5/1/2020,28,Tamaulipas,0
5/1/2020,27,Tabasco,0
5/1/2020,26,Sonora,0
5/1/2020,25,Sinaloa,0
5/1/2020,24,San Luis Potosí,0
5/1/2020,23,Quintana Roo,0
5/1/2020,22,Querétaro,0
5/1/2020,21,Puebla,0
5/1/2020,20,Oaxaca,0
5/1/2020,20,Veracruz,0
5/1/2020,19,Nuevo León,0
5/1/2020,18,Nayarit,0
5/1/2020,17,Morelos,0
5/1/2020,16,Michoacán,0
5/1/2020,15,EdoMex,0
5/1/2020,14,Jalisco,0
5/1/2020,13,Hidalgo,0
5/1/2020,12,Guerrero,0
5/1/2020,11,Guanajuato,0
5/1/2020,10,Durango,0
5/1/2020,9,Colima,0
5/1/2020,8,Coahuila,0
5/1/2020,7,CDMX,0
5/1/2020,6,Chihuahua,0
5/1/2020,5,Chiapas,0
5/1/2020,4,Campeche,0
5/1/2020,3,Baja California Sur,0
5/1/2020,2,Baja California,0
5/1/2020,1,Aguascalientes,0
6/1/2020,32,Zacatecas,0
6/1/2020,31,Yucatán,0
6/1/2020,29,Tlaxcala,0
6/1/2020,28,Tamaulipas,0
6/1/2020,27,Tabasco,0
6/1/2020,26,Sonora,0
6/1/2020,25,Sinaloa,0
6/1/2020,24,San Luis Potosí,0
6/1/2020,23,Quintana Roo,0
6/1/2020,22,Querétaro,0
6/1/2020,21,Puebla,0
6/1/2020,20,Oaxaca,0
6/1/2020,20,Veracruz,0
6/1/2020,19,Nuevo León,0
6/1/2020,18,Nayarit,0
6/1/2020,17,Morelos,0
6/1/2020,16,Michoacán,0
6/1/2020,15,EdoMex,0
6/1/2020,14,Jalisco,0
6/1/2020,13,Hidalgo,0
6/1/2020,12,Guerrero,0
6/1/2020,11,Guanajuato,0
6/1/2020,10,Durango,0
6/1/2020,9,Colima,0
6/1/2020,8,Coahuila,0
6/1/2020,7,CDMX,0
6/1/2020,6,Chihuahua,0
6/1/2020,5,Chiapas,0
6/1/2020,4,Campeche,0
6/1/2020,3,Baja California Sur,0
6/1/2020,2,Baja California,0
6/1/2020,1,Aguascalientes,0
7/1/2020,32,Zacatecas,0
7/1/2020,31,Yucatán,0
7/1/2020,29,Tlaxcala,0
7/1/2020,28,Tamaulipas,0
7/1/2020,27,Tabasco,0
7/1/2020,26,Sonora,0
7/1/2020,25,Sinaloa,0
7/1/2020,24,San Luis Potosí,0
7/1/2020,23,Quintana Roo,0
7/1/2020,22,Querétaro,0
7/1/2020,21,Puebla,0
7/1/2020,20,Oaxaca,0
7/1/2020,20,Veracruz,0
7/1/2020,19,Nuevo León,0
7/1/2020,18,Nayarit,0
7/1/2020,17,Morelos,0
7/1/2020,16,Michoacán,0
7/1/2020,15,EdoMex,0
7/1/2020,14,Jalisco,0
7/1/2020,13,Hidalgo,0
7/1/2020,12,Guerrero,0
7/1/2020,11,Guanajuato,0
7/1/2020,10,Durango,0
7/1/2020,9,Colima,0
7/1/2020,8,Coahuila,0
7/1/2020,7,CDMX,0
7/1/2020,6,Chihuahua,0
7/1/2020,5,Chiapas,0
7/1/2020,4,Campeche,0
7/1/2020,3,Baja California Sur,0
7/1/2020,2,Baja California,0
7/1/2020,1,Aguascalientes,0
8/1/2020,32,Zacatecas,0
8/1/2020,31,Yucatán,0
8/1/2020,29,Tlaxcala,0
8/1/2020,28,Tamaulipas,0
8/1/2020,27,Tabasco,0
8/1/2020,26,Sonora,0
8/1/2020,25,Sinaloa,0
8/1/2020,24,San Luis Potosí,0
8/1/2020,23,Quintana Roo,0
8/1/2020,22,Querétaro,0
8/1/2020,21,Puebla,0
8/1/2020,20,Oaxaca,0
8/1/2020,20,Veracruz,0
8/1/2020,19,Nuevo León,0
8/1/2020,18,Nayarit,0
8/1/2020,17,Morelos,0
8/1/2020,16,Michoacán,0
8/1/2020,15,EdoMex,0
8/1/2020,14,Jalisco,0
8/1/2020,13,Hidalgo,0
8/1/2020,12,Guerrero,0
8/1/2020,11,Guanajuato,0
8/1/2020,10,Durango,0
8/1/2020,9,Colima,0
8/1/2020,8,Coahuila,0
8/1/2020,7,CDMX,0
8/1/2020,6,Chihuahua,0
8/1/2020,5,Chiapas,0
8/1/2020,4,Campeche,0
8/1/2020,3,Baja California Sur,0
8/1/2020,2,Baja California,0
8/1/2020,1,Aguascalientes,0
9/1/2020,32,Zacatecas,0
9/1/2020,31,Yucatán,0
9/1/2020,29,Tlaxcala,0
9/1/2020,28,Tamaulipas,0
9/1/2020,27,Tabasco,0
9/1/2020,26,Sonora,0
9/1/2020,25,Sinaloa,0
9/1/2020,24,San Luis Potosí,0
9/1/2020,23,Quintana Roo,0
9/1/2020,22,Querétaro,0
9/1/2020,21,Puebla,0
9/1/2020,20,Oaxaca,0
9/1/2020,20,Veracruz,0
9/1/2020,19,Nuevo León,0
9/1/2020,18,Nayarit,0
9/1/2020,17,Morelos,0
9/1/2020,16,Michoacán,0
9/1/2020,15,EdoMex,0
9/1/2020,14,Jalisco,0
9/1/2020,13,Hidalgo,0
9/1/2020,12,Guerrero,0
9/1/2020,11,Guanajuato,0
9/1/2020,10,Durango,0
9/1/2020,9,Colima,0
9/1/2020,8,Coahuila,0
9/1/2020,7,CDMX,0
9/1/2020,6,Chihuahua,0
9/1/2020,5,Chiapas,0
9/1/2020,4,Campeche,0
9/1/2020,3,Baja California Sur,0
9/1/2020,2,Baja California,0
9/1/2020,1,Aguascalientes,0
10/1/2020,32,Zacatecas,0
10/1/2020,31,Yucatán,0
10/1/2020,29,Tlaxcala,0
10/1/2020,28,Tamaulipas,0
10/1/2020,27,Tabasco,0
10/1/2020,26,Sonora,0
10/1/2020,25,Sinaloa,0
10/1/2020,24,San Luis Potosí,0
10/1/2020,23,Quintana Roo,0
10/1/2020,22,Querétaro,0
10/1/2020,21,Puebla,0
10/1/2020,20,Oaxaca,0
10/1/2020,20,Veracruz,0
10/1/2020,19,Nuevo León,0
10/1/2020,18,Nayarit,0
10/1/2020,17,Morelos,0
10/1/2020,16,Michoacán,0
10/1/2020,15,EdoMex,0
10/1/2020,14,Jalisco,0
10/1/2020,13,Hidalgo,0
10/1/2020,12,Guerrero,0
10/1/2020,11,Guanajuato,0
10/1/2020,10,Durango,0
10/1/2020,9,Colima,0
10/1/2020,8,Coahuila,0
10/1/2020,7,CDMX,0
10/1/2020,6,Chihuahua,0
10/1/2020,5,Chiapas,0
10/1/2020,4,Campeche,0
10/1/2020,3,Baja California Sur,0
10/1/2020,2,Baja California,0
10/1/2020,1,Aguascalientes,0
11/1/2020,32,Zacatecas,0
11/1/2020,31,Yucatán,0
11/1/2020,29,Tlaxcala,0
11/1/2020,28,Tamaulipas,0
11/1/2020,27,Tabasco,0
11/1/2020,26,Sonora,0
11/1/2020,25,Sinaloa,0
11/1/2020,24,San Luis Potosí,0
11/1/2020,23,Quintana Roo,0
11/1/2020,22,Querétaro,0
11/1/2020,21,Puebla,0
11/1/2020,20,Oaxaca,0
11/1/2020,20,Veracruz,0
11/1/2020,19,Nuevo León,0
11/1/2020,18,Nayarit,0
11/1/2020,17,Morelos,0
11/1/2020,16,Michoacán,0
11/1/2020,15,EdoMex,0
11/1/2020,14,Jalisco,0
11/1/2020,13,Hidalgo,0
11/1/2020,12,Guerrero,0
11/1/2020,11,Guanajuato,0
11/1/2020,10,Durango,0
11/1/2020,9,Colima,0
11/1/2020,8,Coahuila,0
11/1/2020,7,CDMX,0
11/1/2020,6,Chihuahua,0
11/1/2020,5,Chiapas,0
11/1/2020,4,Campeche,0
11/1/2020,3,Baja California Sur,0
11/1/2020,2,Baja California,0
11/1/2020,1,Aguascalientes,0
12/1/2020,32,Zacatecas,0
12/1/2020,31,Yucatán,0
