FechaInicio,FechaFin,ClaveEntidad,Estado,Nivel
07/12/2020,20/12/2020,1,Aguascalientes,2
07/12/2020,20/12/2020,2,Baja California,4
07/12/2020,20/12/2020,3,Baja California Sur,2
07/12/2020,20/12/2020,4,Campeche,1
07/12/2020,20/12/2020,5,Chiapas,1
07/12/2020,20/12/2020,6,Chihuahua,2
07/12/2020,20/12/2020,7,CDMX,4
07/12/2020,20/12/2020,8,Coahuila,2
07/12/2020,20/12/2020,9,Colima,3
07/12/2020,20/12/2020,10,Durango,2
07/12/2020,20/12/2020,11,Guanajuato,2
07/12/2020,20/12/2020,12,Guerrero,2
07/12/2020,20/12/2020,13,Hidalgo,2
07/12/2020,20/12/2020,14,Jalisco,2
07/12/2020,20/12/2020,15,EdoMex,4
07/12/2020,20/12/2020,16,Michoacán,2
07/12/2020,20/12/2020,17,Morelos,2
07/12/2020,20/12/2020,18,Nayarit,2
07/12/2020,20/12/2020,19,Nuevo León,2
07/12/2020,20/12/2020,20,Veracruz,1
07/12/2020,20/12/2020,20,Oaxaca,3
07/12/2020,20/12/2020,21,Puebla,2
07/12/2020,20/12/2020,22,Querétaro,2
07/12/2020,20/12/2020,23,Quintana Roo,2
07/12/2020,20/12/2020,24,San Luis Potosí,2
07/12/2020,20/12/2020,25,Sinaloa,2
07/12/2020,20/12/2020,26,Sonora,2
07/12/2020,20/12/2020,27,Tabasco,2
07/12/2020,20/12/2020,28,Tamaulipas,2
07/12/2020,20/12/2020,29,Tlaxcala,3
07/12/2020,20/12/2020,31,Yucatán,2
07/12/2020,20/12/2020,32,Zacatecas,4
06/07/2020,12/07/2020,1,Aguascalientes,2
06/07/2020,12/07/2020,2,Baja California,4
06/07/2020,12/07/2020,3,Baja California Sur,2
06/07/2020,12/07/2020,4,Campeche,2
06/07/2020,12/07/2020,5,Chiapas,4
06/07/2020,12/07/2020,6,Chihuahua,2
06/07/2020,12/07/2020,7,CDMX,2
06/07/2020,12/07/2020,8,Coahuila,4
06/07/2020,12/07/2020,9,Colima,4
06/07/2020,12/07/2020,10,Durango,2
06/07/2020,12/07/2020,11,Guanajuato,4
06/07/2020,12/07/2020,12,Guerrero,2
06/07/2020,12/07/2020,13,Hidalgo,2
06/07/2020,12/07/2020,14,Jalisco,2
06/07/2020,12/07/2020,15,EdoMex,4
06/07/2020,12/07/2020,16,Michoacán,2
06/07/2020,12/07/2020,17,Morelos,2
06/07/2020,12/07/2020,18,Nayarit,4
06/07/2020,12/07/2020,19,Nuevo León,4
06/07/2020,12/07/2020,20,Veracruz,4
06/07/2020,12/07/2020,20,Oaxaca,2
06/07/2020,12/07/2020,21,Puebla,4
06/07/2020,12/07/2020,22,Querétaro,2
06/07/2020,12/07/2020,23,Quintana Roo,2
06/07/2020,12/07/2020,24,San Luis Potosí,2
06/07/2020,12/07/2020,25,Sinaloa,4
06/07/2020,12/07/2020,26,Sonora,4
06/07/2020,12/07/2020,27,Tabasco,4
06/07/2020,12/07/2020,28,Tamaulipas,4
06/07/2020,12/07/2020,29,Tlaxcala,4
06/07/2020,12/07/2020,31,Yucatán,2
06/07/2020,12/07/2020,32,Zacatecas,2
03/08/2020,16/08/2020,1,Aguascalientes,2
03/08/2020,16/08/2020,2,Baja California,2
03/08/2020,16/08/2020,3,Baja California Sur,4
03/08/2020,16/08/2020,4,Campeche,2
03/08/2020,16/08/2020,5,Chiapas,2
03/08/2020,16/08/2020,6,Chihuahua,2
03/08/2020,16/08/2020,7,CDMX,2
03/08/2020,16/08/2020,8,Coahuila,4
03/08/2020,16/08/2020,9,Colima,4
03/08/2020,16/08/2020,10,Durango,4
03/08/2020,16/08/2020,11,Guanajuato,2
03/08/2020,16/08/2020,12,Guerrero,2
03/08/2020,16/08/2020,13,Hidalgo,4
03/08/2020,16/08/2020,14,Jalisco,4
03/08/2020,16/08/2020,15,EdoMex,2
03/08/2020,16/08/2020,16,Michoacán,4
03/08/2020,16/08/2020,17,Morelos,2
03/08/2020,16/08/2020,18,Nayarit,4
03/08/2020,16/08/2020,19,Nuevo León,4
03/08/2020,16/08/2020,20,Veracruz,4
03/08/2020,16/08/2020,20,Oaxaca,2
03/08/2020,16/08/2020,21,Puebla,4
03/08/2020,16/08/2020,22,Querétaro,2
03/08/2020,16/08/2020,23,Quintana Roo,2
03/08/2020,16/08/2020,24,San Luis Potosí,4
03/08/2020,16/08/2020,25,Sinaloa,2
03/08/2020,16/08/2020,26,Sonora,2
03/08/2020,16/08/2020,27,Tabasco,4
03/08/2020,16/08/2020,28,Tamaulipas,4
03/08/2020,16/08/2020,29,Tlaxcala,2
03/08/2020,16/08/2020,31,Yucatán,4
03/08/2020,16/08/2020,32,Zacatecas,4
15/06/2020,21/06/2020,1,Aguascalientes,2
15/06/2020,21/06/2020,2,Baja California,4
15/06/2020,21/06/2020,3,Baja California Sur,2
15/06/2020,21/06/2020,4,Campeche,2
15/06/2020,21/06/2020,5,Chiapas,4
15/06/2020,21/06/2020,6,Chihuahua,2
15/06/2020,21/06/2020,7,CDMX,4
15/06/2020,21/06/2020,8,Coahuila,2
15/06/2020,21/06/2020,9,Colima,4
15/06/2020,21/06/2020,10,Durango,2
15/06/2020,21/06/2020,11,Guanajuato,2
15/06/2020,21/06/2020,12,Guerrero,4
15/06/2020,21/06/2020,13,Hidalgo,4
15/06/2020,21/06/2020,14,Jalisco,2
15/06/2020,21/06/2020,15,EdoMex,4
15/06/2020,21/06/2020,16,Michoacán,2
15/06/2020,21/06/2020,17,Morelos,4
15/06/2020,21/06/2020,18,Nayarit,4
15/06/2020,21/06/2020,19,Nuevo León,2
15/06/2020,21/06/2020,20,Veracruz,4
15/06/2020,21/06/2020,20,Oaxaca,4
15/06/2020,21/06/2020,21,Puebla,4
15/06/2020,21/06/2020,22,Querétaro,4
15/06/2020,21/06/2020,23,Quintana Roo,2
15/06/2020,21/06/2020,24,San Luis Potosí,2
15/06/2020,21/06/2020,25,Sinaloa,4
15/06/2020,21/06/2020,26,Sonora,4
15/06/2020,21/06/2020,27,Tabasco,2
15/06/2020,21/06/2020,28,Tamaulipas,2
15/06/2020,21/06/2020,29,Tlaxcala,4
15/06/2020,21/06/2020,31,Yucatán,2
15/06/2020,21/06/2020,32,Zacatecas,2
22/06/2020,28/06/2020,1,Aguascalientes,2
22/06/2020,28/06/2020,2,Baja California,4
22/06/2020,28/06/2020,3,Baja California Sur,2
22/06/2020,28/06/2020,4,Campeche,2
22/06/2020,28/06/2020,5,Chiapas,4
22/06/2020,28/06/2020,6,Chihuahua,2
22/06/2020,28/06/2020,7,CDMX,4
22/06/2020,28/06/2020,8,Coahuila,2
22/06/2020,28/06/2020,9,Colima,2
22/06/2020,28/06/2020,10,Durango,2
22/06/2020,28/06/2020,11,Guanajuato,2
22/06/2020,28/06/2020,12,Guerrero,4
22/06/2020,28/06/2020,13,Hidalgo,2
22/06/2020,28/06/2020,14,Jalisco,2
22/06/2020,28/06/2020,15,EdoMex,4
22/06/2020,28/06/2020,16,Michoacán,2
22/06/2020,28/06/2020,17,Morelos,4
22/06/2020,28/06/2020,18,Nayarit,4
22/06/2020,28/06/2020,19,Nuevo León,2
22/06/2020,28/06/2020,20,Veracruz,4
22/06/2020,28/06/2020,20,Oaxaca,4
22/06/2020,28/06/2020,21,Puebla,4
22/06/2020,28/06/2020,22,Querétaro,4
22/06/2020,28/06/2020,23,Quintana Roo,2
22/06/2020,28/06/2020,24,San Luis Potosí,2
22/06/2020,28/06/2020,25,Sinaloa,4
22/06/2020,28/06/2020,26,Sonora,4
22/06/2020,28/06/2020,27,Tabasco,4
22/06/2020,28/06/2020,28,Tamaulipas,2
22/06/2020,28/06/2020,29,Tlaxcala,4
22/06/2020,28/06/2020,31,Yucatán,2
22/06/2020,28/06/2020,32,Zacatecas,2
29/06/2020,05/07/2020,1,Aguascalientes,2
29/06/2020,05/07/2020,2,Baja California,4
29/06/2020,05/07/2020,3,Baja California Sur,2
29/06/2020,05/07/2020,4,Campeche,2
29/06/2020,05/07/2020,5,Chiapas,2
29/06/2020,05/07/2020,6,Chihuahua,2
29/06/2020,05/07/2020,7,CDMX,2
29/06/2020,05/07/2020,8,Coahuila,2
29/06/2020,05/07/2020,9,Colima,4
29/06/2020,05/07/2020,10,Durango,2
29/06/2020,05/07/2020,11,Guanajuato,2
29/06/2020,05/07/2020,12,Guerrero,4
29/06/2020,05/07/2020,13,Hidalgo,4
29/06/2020,05/07/2020,14,Jalisco,2
29/06/2020,05/07/2020,15,EdoMex,4
29/06/2020,05/07/2020,16,Michoacán,2
29/06/2020,05/07/2020,17,Morelos,4
29/06/2020,05/07/2020,18,Nayarit,4
29/06/2020,05/07/2020,19,Nuevo León,4
29/06/2020,05/07/2020,20,Veracruz,2
29/06/2020,05/07/2020,20,Oaxaca,4
29/06/2020,05/07/2020,21,Puebla,4
29/06/2020,05/07/2020,22,Querétaro,2
29/06/2020,05/07/2020,23,Quintana Roo,2
29/06/2020,05/07/2020,24,San Luis Potosí,2
29/06/2020,05/07/2020,25,Sinaloa,4
29/06/2020,05/07/2020,26,Sonora,4
29/06/2020,05/07/2020,27,Tabasco,4
29/06/2020,05/07/2020,28,Tamaulipas,2
29/06/2020,05/07/2020,29,Tlaxcala,4
29/06/2020,05/07/2020,31,Yucatán,2
29/06/2020,05/07/2020,32,Zacatecas,2
13/07/2020,19/07/2020,1,Aguascalientes,2
13/07/2020,19/07/2020,2,Baja California,4
